FID	IID	POP
sample_000	sample_000	EUR
sample_001	sample_001	EAS
sample_002	sample_002	EAS
sample_003	sample_003	EUR
sample_004	sample_004	EAS
sample_005	sample_005	EAS
sample_006	sample_006	EUR
sample_007	sample_007	EAS
sample_008	sample_008	EUR
sample_009	sample_009	EUR
sample_010	sample_010	EAS
sample_011	sample_011	EUR
sample_012	sample_012	EUR
sample_013	sample_013	AFR
sample_014	sample_014	AFR
sample_015	sample_015	EAS
sample_016	sample_016	AFR
sample_017	sample_017	EUR
sample_018	sample_018	EAS
sample_019	sample_019	EAS
sample_020	sample_020	EUR
sample_021	sample_021	EAS
sample_022	sample_022	AFR
sample_023	sample_023	EAS
sample_024	sample_024	EAS
sample_025	sample_025	AFR
sample_026	sample_026	EUR
sample_027	sample_027	EAS
sample_028	sample_028	EAS
sample_029	sample_029	EAS
sample_030	sample_030	EAS
sample_031	sample_031	EUR
sample_032	sample_032	EAS
sample_033	sample_033	EAS
sample_034	sample_034	EUR
sample_035	sample_035	AFR
sample_036	sample_036	EAS
sample_037	sample_037	EAS
sample_038	sample_038	EAS
sample_039	sample_039	EAS
sample_040	sample_040	EUR
sample_041	sample_041	EUR
sample_042	sample_042	AFR
sample_043	sample_043	AFR
sample_044	sample_044	EUR
sample_045	sample_045	EAS
sample_046	sample_046	EAS
sample_047	sample_047	EAS
sample_048	sample_048	AFR
sample_049	sample_049	AFR
