row_key	api_mode	default_obs	obs_columns	has_spatial	has_umap	has_he	bin_size	object_type	size_tier	stage_norm	stage_order	stage_kind	organs_norm	section_plane	donor_id	batch_id	replicate	condition	markers_available	n_groups_obs	demo_safe	de_ready	qc_pass	use_cases	skill_tags	keywords	last_probed
hesta|CS19_CS20_CS23_snRNA_HESTA.h5ad	parquet	annotation_zl	leiden_reso06;leiden_reso04;leiden_reso08;tissue_regularDEG150;tissue_curation092223;Group;CS_stage;Sample;Chip;Sex;annotation_zl;dummy;celltype;n_genes_by_counts;total_counts;total_counts_mt;pct_counts_mt;n_genes;n_counts;No	1	1	0		snrna	huge	CS19	19	developmental	Adrenal Gland;Blood Vessel;Bone;Brain;Cartilage;Cavity;Choroid Plexus;Connective Tissue;Cranial Skeleton;Epidermis;Erythroblasts;Eye;Ganglion;Gonad;Gut;Heart;Inner Ear;Jaw And Tooth;Kidney;Liver;Lung;Meninges;Mesonephron;Pancreas;Pharyngeal;Sclerotome;Muscle;Spinal Cord;Stomach;Thymus	sagittal					Adrenal Gland;Atrial myocardium;Atrioventricular cushions;B Cells;Cholinergic Neurons;Chondrocytes;Choroid Plexus;Collecting duct;DC1;DC2;Distal tubule;Dopaminergic Neurons;Early Proximal Tubule;Endothelium;Enterocyte cells;Epithelial;Erythrocytes;Erythroid Progenitors;Excitatory Neurons;Exicited Neurons	20	0	0	1	expression;cluster	dataset_info;list_datasets;gene_across_samples;recommend_sample	hesta;Homo sapiens / 人;DNBelab C4;spatial;Adrenal Gland, Blood Vessel, Bone, Brain, Cartilage, Cavity, Choroid Plexus, Connective Tissue, Cranial Skeleton, Epidermis, Erythroblasts, Eye, Ganglion, Gonad, Gut, Heart, Inner Ear, Jaw and Tooth, Kidney, Liver, Lung, Meninges, Mesonephron, Pancreas, Pharyngeal, Sclerotome, Skeletal Muscle, Spinal Cord, Stomach, Thymus, Thyroid, Trachea;CS19;Adrenal Gland;Blood Vessel;Bone;Brain;Cartilage;Cavity;Choroid Plexus;Connective Tissue;Cranial Skeleton;Epider	2026-06-23
hesta|CS12-13_E2_3D_HESTA.h5ad	parquet	Annotation	Annotation	1	0	0	cell	integrated	large	CS12-13	12	developmental	Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesenchyme;Mesonephron;Neural Crest;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	3d					Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung Primordium;Meninges;Mesenchyme;Mesonephron;Neural Crest;Notochord;Pancreas Bud;Pharyngeal;Primitive Gut;Somite	2	0	0	1	expression;cluster	dataset_info;list_datasets;gene_across_samples;recommend_sample	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm;CS12-13;Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesenchyme;Mesonephron;Neural Crest;Notochord;Pancreas;Pha	2026-06-23
hesta|CS12-13_E1S1_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Epidermis;Erythroblasts;Heart;Mesenchyme;Mesonephron	sagittal					Brain;Branchial Arch;Epidermis;Erythroblasts;Heart;Mesenchyme;Mesonephron	5	1	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Epidermis, Erythroblasts, Heart, Mesenchyme, Mesonephron;CS12-13;Brain;Branchial Arch;Epidermis;Erythroblasts;Heart;Mesenchyme;Mesonephron;slice	2026-06-23
hesta|CS12-13_E1S2_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Epidermis;Erythroblasts;Ganglion;Heart;Liver;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite	sagittal					Brain;Branchial Arch;Epidermis;Erythroblasts;Ganglion;Heart;Liver;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Epidermis, Erythroblasts, Ganglion, Heart, Liver, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite;CS12-13;Brain;Branchial Arch;Epidermis;Erythroblasts;Ganglion;Heart;Liver;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite;slice	2026-06-23
hesta|CS12-13_E1S3_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Branchial Arch;Cavity;Erythroblasts;Ganglion;Heart;Inner Ear;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite;Spinal Cord	sagittal					Branchial Arch;Erythroblasts;Ganglion;Heart;Inner Ear;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite;Spinal Cord	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Branchial Arch, Cavity, Erythroblasts, Ganglion, Heart, Inner Ear, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite, Spinal Cord;CS12-13;Branchial Arch;Cavity;Erythroblasts;Ganglion;Heart;Inner Ear;Mesenchyme;Mesonephron;Pharyngeal;Primitive Gut;Somite;Spinal Cord;slice	2026-06-23
hesta|CS12-13_E1S4_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	small	CS12-13	12	developmental	Brain;Erythroblasts;Ganglion;Inner Ear;Meninges;Mesenchyme;Somite	sagittal					Brain;Erythroblasts;Ganglion;Inner Ear;Meninges;Mesenchyme;Somite	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Erythroblasts, Ganglion, Inner Ear, Meninges, Mesenchyme, Somite;CS12-13;Brain;Erythroblasts;Ganglion;Inner Ear;Meninges;Mesenchyme;Somite;slice	2026-06-23
hesta|CS12-13_E2S1_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Neural Crest;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	sagittal					Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung Primordium;Meninges;Neural Crest;Pancreas Bud;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Neural Crest, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm;CS12-13;Brain;Branchial Arch;Cloaca;Erythroblasts;Eye;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Neural Crest;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm;slice	2026-06-23
hesta|CS12-13_E2S2_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Cloaca;Heart;Hepatic Diverticulum;Inner Ear;Lung;Meninges;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	sagittal					Brain;Branchial Arch;Cloaca;Heart;Hepatic Diverticulum;Inner Ear;Lung Primordium;Meninges;Notochord;Pancreas Bud;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Cloaca, Heart, Hepatic Diverticulum, Inner Ear, Lung Primordium, Meninges, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm;CS12-13;Brain;Branchial Arch;Cloaca;Heart;Hepatic Diverticulum;Inner Ear;Lung;Meninges;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm;slice	2026-06-23
hesta|CS12-13_E2S3_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Cloaca;Erythroblasts;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesonephron;Neural Crest;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	sagittal					Brain;Branchial Arch;Cloaca;Erythroblasts;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung Primordium;Meninges;Mesonephron;Neural Crest;Notochord;Pancreas Bud;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Cloaca, Erythroblasts, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm;CS12-13;Brain;Branchial Arch;Cloaca;Erythroblasts;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesonephron;Neural Crest;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ec	2026-06-23
hesta|CS12-13_E2S4_HESTA.h5ad	parquet	celltype	orig.ident;cellid;celltype;stage;x;y;n_genes_by_counts;log1p_n_genes_by_counts;total_counts;log1p_total_counts;pct_counts_in_top_50_genes;pct_counts_in_top_100_genes;pct_counts_in_top_200_genes;pct_counts_in_top_500_genes;total_counts_mt;log1p_total_counts_mt;pct_counts_mt	1	0	1	cell	slice	medium	CS12-13	12	developmental	Brain;Branchial Arch;Cloaca;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesonephron;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	sagittal					Brain;Branchial Arch;Cloaca;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung Primordium;Meninges;Mesonephron;Notochord;Pancreas Bud;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm	5	0	1	1	expression;cluster;de;he_overlay	dataset_info;list_datasets;gene_expression;plot_spatial_clusters;list_obs_groups;list_markers;gene_across_samples;recommend_sample;de_two_groups	hesta;Homo sapiens / 人;Stereo-seq;spatial;Brain, Branchial Arch, Cloaca, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm;CS12-13;Brain;Branchial Arch;Cloaca;Ganglion;Heart;Hepatic Diverticulum;Inner Ear;Limb Ectoderm;Lung;Meninges;Mesonephron;Notochord;Pancreas;Pharyngeal;Primitive Gut;Somite;Spinal Cord;Surface Ectoderm;slice	2026-06-23
