Atlas	Species	Section	Developmental stage	Sex	Technology	Kind	Tissue	Disease	Spatial clustering	H&E	Download	ExploreId	n_obs	n_genes
hesta	Homo sapiens / 人	CS19_CS20_CS23_snRNA_HESTA.h5ad	CS19,CS20,CS23	Female/Male	DNBelab C4	spatial	Adrenal Gland, Blood Vessel, Bone, Brain, Cartilage, Cavity, Choroid Plexus, Connective Tissue, Cranial Skeleton, Epidermis, Erythroblasts, Eye, Ganglion, Gonad, Gut, Heart, Inner Ear, Jaw and Tooth, Kidney, Liver, Lung, Meninges, Mesonephron, Pancreas, Pharyngeal, Sclerotome, Skeletal Muscle, Spinal Cord, Stomach, Thymus, Thyroid, Trachea		https://db.cngb.org/stomics/assets/img/hesta/spatial.clustering/single-cell.png		https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS19_CS20_CS23_snRNA_HESTA.h5ad	embryodev_CS19_CS20_CS23_snRNA_HESTA	607093	29480
hesta	Homo sapiens / 人	CS12-13_E2_3D_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesenchyme, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/hesta/spatial.clustering/3d.png		https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2_3D_HESTA.h5ad	embryodev_CS12-13_E2_3D_HESTA	93995	29333
hesta	Homo sapiens / 人	CS12-13_E1S1_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Branchial Arch, Epidermis, Erythroblasts, Heart, Mesenchyme, Mesonephron		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S1_PCW4_E1_S2_FP200000607TR_D4.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S1_HESTA.h5ad	embryodev_CS12-13_E1S1_HESTA	5819	32712
hesta	Homo sapiens / 人	CS12-13_E1S2_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Branchial Arch, Epidermis, Erythroblasts, Ganglion, Heart, Liver, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S2_PCW4_E1_S6_FP200000607TR_E3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S2_HESTA.h5ad	embryodev_CS12-13_E1S2_HESTA	7405	35421
hesta	Homo sapiens / 人	CS12-13_E1S3_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Branchial Arch, Cavity, Erythroblasts, Ganglion, Heart, Inner Ear, Mesenchyme, Mesonephron, Pharyngeal, Primitive Gut, Somite, Spinal Cord		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S3_PCW4_E1_S7_FP200000623TL_F5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S3_HESTA.h5ad	embryodev_CS12-13_E1S3_HESTA	6824	36612
hesta	Homo sapiens / 人	CS12-13_E1S4_HESTA.h5ad	CS12-13	Male	Stereo-seq	spatial	Brain, Erythroblasts, Ganglion, Inner Ear, Meninges, Mesenchyme, Somite		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E1S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E1S4_PCW4_E1_S9_FP200000623TL_F6.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E1S4_HESTA.h5ad	embryodev_CS12-13_E1S4_HESTA	3860	33970
hesta	Homo sapiens / 人	CS12-13_E2S1_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Eye, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Neural Crest, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S1.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S1_PCW3_E1_S1_FP200000553BL_D1.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S1_HESTA.h5ad	embryodev_CS12-13_E2S1_HESTA	12138	40249
hesta	Homo sapiens / 人	CS12-13_E2S2_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Heart, Hepatic Diverticulum, Inner Ear, Lung Primordium, Meninges, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S2.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S2_PCW3_E1_S2_FP200000553BL_D2.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S2_HESTA.h5ad	embryodev_CS12-13_E2S2_HESTA	11123	40086
hesta	Homo sapiens / 人	CS12-13_E2S3_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Erythroblasts, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Neural Crest, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S3.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S3_PCW3_E1_S3_FP200000553BL_D3.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S3_HESTA.h5ad	embryodev_CS12-13_E2S3_HESTA	13257	42266
hesta	Homo sapiens / 人	CS12-13_E2S4_HESTA.h5ad	CS12-13	Female	Stereo-seq	spatial	Brain, Branchial Arch, Cloaca, Ganglion, Heart, Hepatic Diverticulum, Inner Ear, Limb Ectoderm, Lung Primordium, Meninges, Mesonephron, Notochord, Pancreas Bud, Pharyngeal, Primitive Gut, Somite, Spinal Cord, Surface Ectoderm		https://db.cngb.org/stomics/assets/img/bySection/CS12-13_E2S4.png	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/HE/HE_CS12-13_E2S4_PCW3_E1_S4_FP200000553BL_D5.tif	https://ftp.cngb.org/pub/SciRAID/stomics/STDS0000394/stomics/CS12-13_E2S4_HESTA.h5ad	embryodev_CS12-13_E2S4_HESTA	12865	38786
